Date,DATrt,Treatment,Genotype,Plant_Number,Tillers_number,Leaves_Number,Height,Chl,Flav,NBI,SPAD,affected Tillers,Bronze_Score,pH/Moisture,#DeadLeaves
20210611,4,Fe-Tox control,IR29,1,3,8,42,,,,,,,,
20210611,4,Fe-Tox control,IR29,2,3,8,38,,,,,,,,
20210611,4,Fe-Tox control,IR29,3,3,8,33,,,,,,,,
20210611,4,Fe-Tox control,IR29,4,4,11,43,,,,,,,,
20210611,4,Fe-Tox control,IR29,5,3,9,39.5,,,,,,,,
20210611,4,Fe-Tox control,FL483,1,3,9,32,,,,,,,,
20210611,4,Fe-Tox control,FL483,2,3,10,33,,,,,,,,
20210611,4,Fe-Tox control,FL483,3,4,11,30,,,,,,,,
20210611,4,Fe-Tox control,FL483,4,3,9,34,,,,,,,,
20210611,4,Fe-Tox 500 ppm,IR29,1,3,12,47,,,,,,,,
20210611,4,Fe-Tox 500 ppm,IR29,2,2,6,31,,,,,,,,
20210611,4,Fe-Tox 500 ppm,IR29,3,3,9,38,,,,,,,,
20210611,4,Fe-Tox 500 ppm,IR29,4,3,10,42,,,,,,,,
20210611,4,Fe-Tox 500 ppm,IR29,5,,,,,,,,,,,
20210611,4,Fe-Tox 500 ppm,FL483,1,4,13,36,,,,,,,,
20210611,4,Fe-Tox 500 ppm,FL483,2,3,9,35,,,,,,,,
20210611,4,Fe-Tox 500 ppm,FL483,3,3,9,28,,,,,,,,
20210611,4,Fe-Tox 500 ppm,FL483,4,3,10,39,,,,,,,,
20210611,4,Fe-Tox 500 ppm,FL483,5,2,6,30,,,,,,,,
20210611,4,Fe-Tox 1000 ppm,IR29,1,4,11,42,,,,,,,,
20210611,4,Fe-Tox 1000 ppm,IR29,2,3,8,44,,,,,,,,
20210611,4,Fe-Tox 1000 ppm,IR29,3,3,9,34,,,,,,,,
20210611,4,Fe-Tox 1000 ppm,IR29,4,1,5,19,,,,,,,,
20210611,4,Fe-Tox 1000 ppm,IR29,5,4,14,43,,,,,,,,
20210611,4,Fe-Tox 1000 ppm,FL483,1,3,10,35,,,,,,,,
20210611,4,Fe-Tox 1000 ppm,FL483,2,1,5,23,,,,,,,,
20210611,4,Fe-Tox 1000 ppm,FL483,3,3,10,30,,,,,,,,
20210611,4,Fe-Tox 1000 ppm,FL483,4,4,12,39,,,,,,,,
20210611,4,Fe-Tox 1500 ppm,IR29,1,,,,,,,,,,,
20210611,4,Fe-Tox 1500 ppm,IR29,2,3,9,41,,,,,,,,
20210611,4,Fe-Tox 1500 ppm,IR29,3,3,10,35,,,,,,,,
20210611,4,Fe-Tox 1500 ppm,IR29,4,1,3,15,,,,,,,,
20210611,4,Fe-Tox 1500 ppm,FL483,1,3,12,38,,,,,,,,
20210611,4,Fe-Tox 1500 ppm,FL483,2,4,13,31,,,,,,,,
20210611,4,Fe-Tox 1500 ppm,FL483,3,4,9,42,,,,,,,,
20210611,4,Fe-Tox 1500 ppm,FL483,4,3,10,37,,,,,,,,
20210611,4,Fe-Tox 1500 ppm,FL483,5,3,9,36,,,,,,,,
20210614,7,Fe-Tox control,IR29,1,3,,31,33.7,0.45,75.1,40.3,0,0,,
20210614,7,Fe-Tox control,IR29,2,3,,45,24.1,0.35,67.9,39.6,0,0,,
20210614,7,Fe-Tox control,IR29,3,4,,38,27,0.5,54.4,38.1,0,0,,
20210614,7,Fe-Tox control,IR29,4,4,,48,28.3,0.54,52.5,35.5,0,0,,
20210614,7,Fe-Tox control,IR29,5,3,,42,26.4,0.46,57.5,39.8,0,0,,
20210614,7,Fe-Tox control,FL483,1,4,,39,34.7,0.59,58.7,41.5,0,0,,
20210614,7,Fe-Tox control,FL483,2,3,,39,32.5,0.55,58.9,42.7,0,0,,
20210614,7,Fe-Tox control,FL483,3,4,,38,35.2,0.58,60.5,40.9,0,0,,
20210614,7,Fe-Tox control,FL483,4,3,,40,36.4,0.56,65.4,42.4,0,0,,
20210614,7,Fe-Tox 500 ppm,IR29,1,4,,49,29.6,0.54,54.9,45.8,,,,
20210614,7,Fe-Tox 500 ppm,IR29,2,2,,35,24.5,0.45,54.1,37.6,2,1,,
20210614,7,Fe-Tox 500 ppm,IR29,3,3,,43,30.3,0.68,44.7,38.6,3,1.5,,
20210614,7,Fe-Tox 500 ppm,IR29,4,3,,47,30.4,0.69,44.3,35.5,3,1,,
20210614,7,Fe-Tox 500 ppm,IR29,5,,,,,,,,,1,,
20210614,7,Fe-Tox 500 ppm,FL483,1,4,,38,31.4,0.71,44.1,37,,,,
20210614,7,Fe-Tox 500 ppm,FL483,2,3,,36,34.8,0.82,42.3,40.3,,,,
20210614,7,Fe-Tox 500 ppm,FL483,3,3,,29,31.9,0.86,37.3,25.7,,2,,
20210614,7,Fe-Tox 500 ppm,FL483,4,3,,39,34.9,0.77,45.5,43.6,3,1,,
20210614,7,Fe-Tox 500 ppm,FL483,5,2,,35,32,0.72,44.7,42,1,,,
20210614,7,Fe-Tox 1000 ppm,IR29,1,4,,49,27.9,0.76,36.8,34.4,4,4,,
20210614,7,Fe-Tox 1000 ppm,IR29,2,3,,41,23,0.76,30.4,35.7,3,3,,
20210614,7,Fe-Tox 1000 ppm,IR29,3,3,,35,26.3,0.75,34.9,36.9,3,2,,
20210614,7,Fe-Tox 1000 ppm,IR29,4,4,,46,28.6,0.78,36.8,40.3,4,3.5,,
20210614,7,Fe-Tox 1000 ppm,FL483,1,4,,32,32,0.67,47.8,39.5,4,1,,
20210614,7,Fe-Tox 1000 ppm,FL483,2,1,,34,8.9,0.35,25.1,48.1,1,1,,
20210614,7,Fe-Tox 1000 ppm,FL483,3,3,,32,32.2,0.74,43.4,37.6,3,2,,
20210614,7,Fe-Tox 1000 ppm,FL483,4,4,,41,30.9,0.8,38.5,42,4,3,,
20210614,7,Fe-Tox 1000 ppm,FL483,5,1,,19,5.6,0.34,16.5,31.3,1,4,,
20210614,7,Fe-Tox 1500 ppm,IR29,1,,,,,,,,,,,
20210614,7,Fe-Tox 1500 ppm,IR29,2,3,,35,23.3,1.46,16,41,3,8,,
20210614,7,Fe-Tox 1500 ppm,IR29,3,3,,28.9,6,1.24,4.9,34,3,7.8,,
20210614,7,Fe-Tox 1500 ppm,IR29,4,1,,,,,,11,1,9,,
20210614,7,Fe-Tox 1500 ppm,FL483,1,4,,39,26.9,0.72,37.4,39,4,6,,
20210614,7,Fe-Tox 1500 ppm,FL483,2,4,,32,26.9,0.83,32.4,38.4,4,4,,
20210614,7,Fe-Tox 1500 ppm,FL483,3,4,,43,23.6,0.71,33.5,34.3,4,4,,
20210614,7,Fe-Tox 1500 ppm,FL483,4,3,,37,32,0.77,41.8,39.6,3,4,,
20210614,7,Fe-Tox 1500 ppm,FL483,5,3,,37,29.2,0.74,39.2,36.9,3,4,,
20210616,9,Fe-Tox control,IR29,1,4,,56,,,,,,,,
20210616,9,Fe-Tox control,IR29,2,3,,55,,,,,,,,
20210616,9,Fe-Tox control,IR29,3,4,,48,,,,,,,,
20210616,9,Fe-Tox control,IR29,4,5,,52,,,,,,,,
20210616,9,Fe-Tox control,IR29,5,4,,43,,,,,,,,
20210616,9,Fe-Tox control,FL483,1,4,,42,,,,,,,,
20210616,9,Fe-Tox control,FL483,2,4,,39,,,,,,,,
20210616,9,Fe-Tox control,FL483,3,4,,43,,,,,,,,
20210616,9,Fe-Tox control,FL483,4,5,,48,,,,,,,,
20210616,9,Fe-Tox 500 ppm,IR29,1,5,,48,,,,,5,2.5,,
20210616,9,Fe-Tox 500 ppm,IR29,2,2,,35,,,,,2,2.5,,
20210616,9,Fe-Tox 500 ppm,IR29,3,4,,43,,,,,4,2.5,,
20210616,9,Fe-Tox 500 ppm,IR29,4,4,,47,,,,,4,2.5,,
20210616,9,Fe-Tox 500 ppm,IR29,5,,,,,,,,,,,
20210616,9,Fe-Tox 500 ppm,FL483,1,5,,38,,,,,5,2,,
20210616,9,Fe-Tox 500 ppm,FL483,2,3,,36,,,,,3,2,,
20210616,9,Fe-Tox 500 ppm,FL483,3,3,,39,,,,,3,2,,
20210616,9,Fe-Tox 500 ppm,FL483,4,3,,39,,,,,3,2,,
20210616,9,Fe-Tox 500 ppm,FL483,5,3,,35,,,,,3,2,,
20210616,9,Fe-Tox 1000 ppm,IR29,1,4,,47,,,,,4,5.5,,
20210616,9,Fe-Tox 1000 ppm,IR29,2,3,,44,,,,,3,5.5,,
20210616,9,Fe-Tox 1000 ppm,IR29,3,4,,35,,,,,4,5.5,,
20210616,9,Fe-Tox 1000 ppm,IR29,4,5,,46,,,,,5,5.5,,
20210616,9,Fe-Tox 1000 ppm,FL483,1,4,,37,,,,,4,3,,
20210616,9,Fe-Tox 1000 ppm,FL483,2,1,,24,,,,,1,3,,
20210616,9,Fe-Tox 1000 ppm,FL483,3,4,,32,,,,,4,3,,
20210616,9,Fe-Tox 1000 ppm,FL483,4,5,,40,,,,,5,3,,
20210616,9,Fe-Tox 1000 ppm,FL483,5,1,,20,,,,,1,3,,
20210616,9,Fe-Tox 1500 ppm,IR29,1,,,,,,,,,,,
20210616,9,Fe-Tox 1500 ppm,IR29,2,4,,41,,,,,4,9,,
20210616,9,Fe-Tox 1500 ppm,IR29,3,3,,34,,,,,3,9,,
20210616,9,Fe-Tox 1500 ppm,IR29,4,,,,,,,,,,,
20210616,9,Fe-Tox 1500 ppm,FL483,1,4,,39,,,,,4,7.5,,
20210616,9,Fe-Tox 1500 ppm,FL483,2,4,,32,,,,,4,7.5,,
20210616,9,Fe-Tox 1500 ppm,FL483,3,4,,42,,,,,4,7.5,,
20210616,9,Fe-Tox 1500 ppm,FL483,4,4,,37,,,,,4,7.5,,
20210616,9,Fe-Tox 1500 ppm,FL483,5,4,,37,,,,,4,7.5,,
20210617,10,Fe-Tox control,IR29,1,,,,33.4,0.74,44.9,33.6,,,,
20210617,10,Fe-Tox control,IR29,2,,,,31.8,0.53,60.2,40.2,,,,
20210617,10,Fe-Tox control,IR29,3,,,,28.4,0.57,49.9,42.1,,,,
20210617,10,Fe-Tox control,IR29,4,,,,26.7,0.44,61.1,42.2,,,,
20210617,10,Fe-Tox control,IR29,5,,,,24.4,0.53,46.3,37.3,,,,
20210617,10,Fe-Tox control,FL483,1,,,,32,0.59,54.4,41.7,,,,
20210617,10,Fe-Tox control,FL483,2,,,,31.8,0.6,53.1,42.8,,,,
20210617,10,Fe-Tox control,FL483,3,,,,25,0.6,41.4,36.7,,,,
20210617,10,Fe-Tox control,FL483,4,,,,28.7,0.64,45.1,41.6,,,,
20210617,10,Fe-Tox 500 ppm,IR29,1,,,,18.8,0.84,22.5,31.8,,,,
20210617,10,Fe-Tox 500 ppm,IR29,2,,,,27.3,1.02,26.7,33.6,,,,
20210617,10,Fe-Tox 500 ppm,IR29,3,,,,25.6,1.18,21.7,36.2,,,,
20210617,10,Fe-Tox 500 ppm,IR29,4,,,,20.5,0.8,25.6,33.7,,,,
20210617,10,Fe-Tox 500 ppm,IR29,5,,,,,,,,,,,
20210617,10,Fe-Tox 500 ppm,FL483,1,,,,30.7,1.15,26.7,37.5,,,,
20210617,10,Fe-Tox 500 ppm,FL483,2,,,,31.2,1.15,27.1,42.3,,,,
20210617,10,Fe-Tox 500 ppm,FL483,3,,,,21.1,1.09,19.5,,,,,
20210617,10,Fe-Tox 500 ppm,FL483,4,,,,30.6,1.18,25.9,43.7,,,,
20210617,10,Fe-Tox 500 ppm,FL483,5,,,,22.4,1.1,20.3,41.6,,,,
20210617,10,Fe-Tox 1000 ppm,IR29,1,,,,10.4,1.07,9.8,24.5,,,,
20210617,10,Fe-Tox 1000 ppm,IR29,2,,,,19.4,1.15,16.8,28.1,,,,
20210617,10,Fe-Tox 1000 ppm,IR29,3,,,,19.2,0.95,20.3,32.3,,,,
20210617,10,Fe-Tox 1000 ppm,IR29,4,,,,22.5,1.09,20.7,31.5,,,,
20210617,10,Fe-Tox 1000 ppm,FL483,1,,,,33.1,0.9,36.8,36.9,,,,
20210617,10,Fe-Tox 1000 ppm,FL483,2,,,,28.7,1.05,27.3,36.1,,,,
20210617,10,Fe-Tox 1000 ppm,FL483,3,,,,32.8,0.97,33.9,40.4,,,,
20210617,10,Fe-Tox 1000 ppm,FL483,4,,,,30.7,1,30.7,37.7,,,,
20210617,10,Fe-Tox 1000 ppm,FL483,5,,,,25.1,0.91,27.4,33.1,,,,
20210617,10,Fe-Tox 1500 ppm,IR29,1,,,,,,,,,,,
20210617,10,Fe-Tox 1500 ppm,IR29,2,,,,,,,,,,,
20210617,10,Fe-Tox 1500 ppm,IR29,3,,,,,,,,,,,
20210617,10,Fe-Tox 1500 ppm,IR29,4,,,,,,,,,,,
20210617,10,Fe-Tox 1500 ppm,FL483,1,,,,17.8,19.7,0.9,,,,,
20210617,10,Fe-Tox 1500 ppm,FL483,2,,,,0.7,1.5,0.5,,,,,
20210617,10,Fe-Tox 1500 ppm,FL483,3,,,,27.4,25.1,1.09,,,,,
20210617,10,Fe-Tox 1500 ppm,FL483,4,,,,39.1,44.3,0.88,,,,,
