Date,DATrt,Treatment,Genotype,Plant_Number,Tillers_number,Leaves_Number,Height,Chl,Flav,NBI,SPAD,,,,,
20210609,1,Submerg(-),IR64,1,,,27,,,,,,,,,
20210609,1,Submerg(-),IR64,2,,,29,,,,,,,,,
20210609,1,Submerg(-),IR64,3,,,33,,,,,,,,,
20210609,1,Submerg(-),IR64,4,,,23,,,,,,,,,
20210609,1,Submerg(-),IR64,5,,,32,,,,,,,,,
20210609,1,Submerg(-),IR64Sub1,1,,,38,,,,,,,,,
20210609,1,Submerg(-),IR64Sub1,2,,,38,,,,,,,,,
20210609,1,Submerg(-),IR64Sub1,3,,,37,,,,,,,,,
20210609,1,Submerg(-),IR64Sub1,4,,,44,,,,,,,,,
20210609,1,Submerg(-),IR64Sub1,5,,,41,,,,,,,,,
20210609,1,Submerg(+),IR64,1,,,24,,,,,,,,,
20210609,1,Submerg(+),IR64,2,,,36,,,,,,,,,
20210609,1,Submerg(+),IR64,3,,,23,,,,,,,,,
20210609,1,Submerg(+),IR64,4,,,25,,,,,,,,,
20210609,1,Submerg(+),IR64,5,,,36,,,,,,,,,
20210609,1,Submerg(+),IR64Sub1,1,,,34,,,,,,,,,
20210609,1,Submerg(+),IR64Sub1,2,,,41,,,,,,,,,
20210609,1,Submerg(+),IR64Sub1,3,,,34,,,,,,,,,
20210609,1,Submerg(+),IR64Sub1,4,,,34,,,,,,,,,
20210609,1,Submerg(+),IR64Sub1,5,,,35,,,,,,,,,
20210614,5,Submerg(-),IR64,1,2,,36,,,,,,,,,
20210614,5,Submerg(-),IR64,2,2,,39,,,,,,,,,
20210614,5,Submerg(-),IR64,3,3,,40,,,,,,,,,
20210614,5,Submerg(-),IR64,4,2,,39,,,,,,,,,
20210614,5,Submerg(-),IR64,5,2,,45,,,,,,,,,
20210614,5,Submerg(-),IR64Sub1,1,3,,48,,,,,,,,,
20210614,5,Submerg(-),IR64Sub1,2,2,,46,,,,,,,,,
20210614,5,Submerg(-),IR64Sub1,3,3,,44,,,,,,,,,
20210614,5,Submerg(-),IR64Sub1,4,5,,53,,,,,,,,,
20210614,5,Submerg(-),IR64Sub1,5,3,,49,,,,,,,,,
20210614,5,Submerg(+),IR64,1,1,,31,,,,,,,,,
20210614,5,Submerg(+),IR64,2,2,,39,,,,,,,,,
20210614,5,Submerg(+),IR64,3,1,,29,,,,,,,,,
20210614,5,Submerg(+),IR64,4,2,,41,,,,,,,,,
20210614,5,Submerg(+),IR64,5,2,,36,,,,,,,,,
20210614,5,Submerg(+),IR64Sub1,1,2,,43,,,,,,,,,
20210614,5,Submerg(+),IR64Sub1,2,3,,42,,,,,,,,,
20210614,5,Submerg(+),IR64Sub1,3,2,,36,,,,,,,,,
20210614,5,Submerg(+),IR64Sub1,4,2,,40,,,,,,,,,
20210614,5,Submerg(+),IR64Sub1,5,1,,37,,,,,,,,,
20210621,13,Submerg(-),IR64,1,4,16,47,32.5,0.38,85.5,40,,,,,
20210621,13,Submerg(-),IR64,2,4,16,48,30.1,0.36,83.5,35.5,,,,,
20210621,13,Submerg(-),IR64,,,,,,,,,,,,,
