Date,DATrt,Treatment,Genotype,Plant_Number,Tillers_number,Leaves_Number,Height,Chl,Flav,NBI,SPAD
20210614,5,Submerg(-),IR64,1,2,,36,,,,
20210614,5,Submerg(-),IR64,2,2,,39,,,,
20210614,5,Submerg(-),IR64,3,3,,40,,,,
20210614,5,Submerg(-),IR64,4,2,,39,,,,
20210614,5,Submerg(-),IR64,5,2,,45,,,,
20210614,5,Submerg(-),IR64Sub1,1,3,,48,,,,
20210614,5,Submerg(-),IR64Sub1,2,2,,46,,,,
20210614,5,Submerg(-),IR64Sub1,3,3,,44,,,,
20210614,5,Submerg(-),IR64Sub1,4,5,,53,,,,
20210614,5,Submerg(-),IR64Sub1,5,3,,49,,,,
20210614,5,Submerg(+),IR64,1,1,,31,,,,
20210614,5,Submerg(+),IR64,2,2,,39,,,,
20210614,5,Submerg(+),IR64,3,1,,29,,,,
20210614,5,Submerg(+),IR64,4,2,,41,,,,
20210614,5,Submerg(+),IR64,5,2,,36,,,,
20210614,5,Submerg(+),IR64Sub1,1,2,,43,,,,
20210614,5,Submerg(+),IR64Sub1,2,3,,42,,,,
20210614,5,Submerg(+),IR64Sub1,3,2,,36,,,,
20210614,5,Submerg(+),IR64Sub1,4,2,,40,,,,
20210614,5,Submerg(+),IR64Sub1,5,1,,37,,,,
